Patient,Expression
TCGA-95-7043,934.35
TCGA-91-8499,1459.16
TCGA-64-1678,1691.41
TCGA-86-8358,1719.45
TCGA-78-7154,1729.42
TCGA-86-7955,1868.82
TCGA-50-5068,1872.62
TCGA-78-7155,1899.88
TCGA-38-4631,1943.85
TCGA-55-7816,2065.38
TCGA-86-7711,2091.23
TCGA-55-7570,2104.14
TCGA-55-1596,2107.76
TCGA-44-6148,2180.8
TCGA-91-6840,2188.31
TCGA-62-A470,2190.89
TCGA-69-8255,2195.84
TCGA-86-8056,2207.86
TCGA-73-4666,2246.12
TCGA-78-8640,2267.54
TCGA-55-7994,2271.69
TCGA-62-8402,2277.13
TCGA-05-5429,2280.74
TCGA-86-7714,2294.17
TCGA-78-7163,2301.46
TCGA-44-3398,2302.78
TCGA-86-8054,2313.55
TCGA-55-8205,2340.87
TCGA-64-1680,2368.46
TCGA-35-5375,2379.58
TCGA-50-6592,2387.75
TCGA-55-6986,2391.72
TCGA-86-8073,2391.82
TCGA-69-7974,2421.85
TCGA-05-4422,2431.35
TCGA-55-5899,2442.06
TCGA-78-7148,2442.97
TCGA-97-7552,2447.94
TCGA-64-5778,2459.79
TCGA-55-1592,2504.32
TCGA-55-8513,2508.16
TCGA-78-7146,2516.92
TCGA-05-4425,2519.87
TCGA-97-7941,2523.65
TCGA-86-8669,2536.23
TCGA-NJ-A4YF,2587.48
TCGA-50-5066,2590.59
TCGA-73-4676,2593.14
TCGA-05-5420,2597.36
TCGA-44-8119,2622.48
TCGA-50-5936,2629.39
TCGA-49-AARQ,2629.78
TCGA-91-6836,2644.46
TCGA-J2-8192,2662.04
TCGA-78-7536,2670.36
TCGA-78-7143,2686.66
TCGA-44-5643,2690.14
TCGA-55-A4DF,2697.18
TCGA-53-7624,2704
TCGA-91-6830,2704.98
TCGA-55-8620,2712.31
TCGA-55-1594,2718.95
TCGA-86-A4D0,2723.13
TCGA-44-5644,2740.48
TCGA-50-6597,2753.06
TCGA-55-8089,2778.55
TCGA-44-7669,2791.14
TCGA-50-5930,2794.22
TCGA-05-4390,2796.74
TCGA-44-8120,2798.38
TCGA-62-A46U,2803.12
TCGA-69-7973,2820.07
TCGA-62-A46P,2821.8
TCGA-78-8662,2829.91
TCGA-99-AA5R,2841.48
TCGA-73-4670,2842.7
TCGA-MP-A4TA,2852.27
TCGA-38-4630,2852.87
TCGA-55-8094,2855.01
TCGA-55-A494,2858.51
TCGA-86-A4P8,2862.35
TCGA-62-8395,2864.16
TCGA-50-5944,2865.07
TCGA-73-A9RS,2868.84
TCGA-86-8672,2869.02
TCGA-44-2666,2871.44
TCGA-86-7713,2871.88
TCGA-55-7815,2876.75
TCGA-L9-A7SV,2878.16
TCGA-62-8394,2886.37
TCGA-93-A4JP,2887.57
TCGA-55-7910,2900
TCGA-05-4250,2911.71
TCGA-64-5774,2913.9
TCGA-55-8512,2916.62
TCGA-J2-A4AE,2918.44
TCGA-55-8097,2923.17
TCGA-05-4420,2925.32
TCGA-97-8552,2925.61
TCGA-91-6831,2931.12
TCGA-55-7728,2933.14
TCGA-38-4628,2936.16
TCGA-67-3771,2940.72
TCGA-97-8177,2957.07
TCGA-62-8398,2965.08
TCGA-50-5946,2983.6
TCGA-44-6146,2984.66
TCGA-64-5775,2989.79
TCGA-62-A46Y,2994.49
TCGA-78-7147,3002.05
TCGA-64-1677,3006.56
TCGA-38-A44F,3021.12
TCGA-44-5645,3025.82
TCGA-95-7948,3034.54
TCGA-05-4433,3034.71
TCGA-05-4427,3035.32
TCGA-55-6543,3037.9
TCGA-49-AAR2,3038.42
TCGA-44-2661,3053.79
TCGA-05-5428,3062.57
TCGA-55-6712,3068.79
TCGA-78-7220,3082.74
TCGA-67-6216,3084.13
TCGA-55-7284,3120.07
TCGA-05-4403,3128.44
TCGA-78-7540,3142.01
TCGA-49-AARE,3156.58
TCGA-55-7724,3164.33
TCGA-69-8453,3169.59
TCGA-55-8206,3177.5
TCGA-49-6744,3190.94
TCGA-05-4382,3194.23
TCGA-95-A4VK,3204.49
TCGA-91-6829,3212.7
TCGA-35-4122,3220.1
TCGA-78-7166,3221.13
TCGA-49-AAR0,3229.55
TCGA-NJ-A7XG,3230.22
TCGA-55-1595,3232.68
TCGA-05-5423,3241.03
TCGA-L9-A8F4,3241.11
TCGA-50-5933,3242.21
TCGA-91-7771,3268.57
TCGA-97-7553,3272.6
TCGA-05-4384,3273.06
TCGA-86-7953,3283.55
TCGA-49-6743,3284.32
TCGA-91-6848,3287.08
TCGA-55-6979,3292.32
TCGA-73-4659,3301.05
TCGA-55-7907,3302.58
TCGA-L4-A4E6,3304.89
